20				2016年8月9日	2016-08-09			None		978-4-06-395720-4						
	cover	進撃の巨人 [Attack on Titan]	1.000	None	諫山創 [Hajime Isayama]	諫山創 [Hajime Isayama]	諫山創 [Hajime Isayama]	?	None							
79	comic story	進撃の巨人 [Attack on Titan]	None	諫山創 [Hajime Isayama]	諫山創 [Hajime Isayama]	諫山創 [Hajime Isayama]	None	?	None	science fiction			from 別冊少年マガジン [Bessatsu Shōnen Magajin / Separate Shonen Magazine] (講談社 [Kodansha], 2009 series) #4/2016			
80	comic story	進撃の巨人 [Attack on Titan]	None	諫山創 [Hajime Isayama]	諫山創 [Hajime Isayama]	諫山創 [Hajime Isayama]	None	?	None	science fiction			from 別冊少年マガジン [Bessatsu Shōnen Magajin / Separate Shonen Magazine] (講談社 [Kodansha], 2009 series) #5/2016			
81	comic story	進撃の巨人 [Attack on Titan]	None	諫山創 [Hajime Isayama]	諫山創 [Hajime Isayama]	諫山創 [Hajime Isayama]	None	?	None	science fiction			from 別冊少年マガジン [Bessatsu Shōnen Magajin / Separate Shonen Magazine] (講談社 [Kodansha], 2009 series) #6/2016			
82	comic story	進撃の巨人 [Attack on Titan]	None	諫山創 [Hajime Isayama]	諫山創 [Hajime Isayama]	諫山創 [Hajime Isayama]	None	?	None	science fiction			from 別冊少年マガジン [Bessatsu Shōnen Magajin / Separate Shonen Magazine] (講談社 [Kodansha], 2009 series) #7/2016			
